model,slice,n,prevalence,majority_floor,accuracy,precision,recall,specificity,f1,roc_auc,tn,fp,fn,tp
model_a_seed0,full test,476,0.334,0.666,0.8277,0.6935,0.8679,0.8076,0.7709,0.9117,256,61,21,138
model_a_seed0,source-matched (flickr),247,0.615,0.615,0.7652,0.7733,0.875,0.5895,0.821,0.8307,56,39,19,133
model_a_seed0,unsplash only,229,0.031,0.969,0.8952,0.1852,0.7143,0.9009,0.2941,0.8591,200,22,2,5
model_a_seed1,full test,476,0.334,0.666,0.8445,0.7225,0.8679,0.8328,0.7886,0.9112,264,53,21,138
model_a_seed1,source-matched (flickr),247,0.615,0.615,0.7773,0.7904,0.8684,0.6316,0.8276,0.8237,60,35,20,132
model_a_seed1,unsplash only,229,0.031,0.969,0.917,0.25,0.8571,0.9189,0.3871,0.8739,204,18,1,6
model_a_seed2,full test,476,0.334,0.666,0.7689,0.645,0.6855,0.8107,0.6646,0.8213,257,60,50,109
model_a_seed2,source-matched (flickr),247,0.615,0.615,0.664,0.7379,0.7039,0.6,0.7205,0.6945,57,38,45,107
model_a_seed2,unsplash only,229,0.031,0.969,0.8821,0.0833,0.2857,0.9009,0.129,0.6744,200,22,5,2
