epoch,train_loss,val_loss,val_auc,lr
0,0.6825822682252952,0.6837702326930858,0.7360470588235295,0.000998458666866564
1,0.6000326882515635,0.6344123641008185,0.7665176470588235,0.0009938441702975688
2,0.6033916547894478,0.7105075454521184,0.6546823529411764,0.0009861849601988382
3,0.5644107264067445,0.5588135885264895,0.7939529411764706,0.0009755282581475767
4,0.5499035519148622,0.6259238294416668,0.7868705882352941,0.0009619397662556432
5,0.526049270693745,0.5438364193944664,0.7961647058823529,0.0009455032620941838
6,0.5079248962657792,0.5202618271189107,0.8124705882352943,0.000926320082177046
7,0.49927672318049837,0.5145537955437811,0.8201882352941178,0.0009045084971874736
8,0.48193507907646044,0.49990192726799537,0.8266588235294118,0.0008802029828000154
9,0.4810420572757721,0.4568214679617742,0.8616470588235294,0.0008535533905932736
10,0.4672635351972921,0.5274910049318089,0.8197882352941176,0.0008247240241650918
11,0.4596987371998174,0.46368889799236046,0.8562352941176471,0.0007938926261462365
12,0.44572196528315544,0.45749439320274304,0.8599058823529412,0.0007612492823579742
13,0.42919561000806944,0.5768300602625774,0.804164705882353,0.0007269952498697732
14,0.428020851952689,0.42587861479678174,0.8805176470588235,0.0006913417161825447
15,0.4047755630952971,0.4875487812178438,0.8519529411764706,0.0006545084971874736
16,0.41185653023421764,0.4613013008474596,0.8717647058823529,0.0006167226819279527
17,0.39222364713038715,0.5184379146229299,0.8210117647058823,0.0005782172325201154
18,0.3845681053187166,0.46019071035560555,0.8548941176470588,0.0005392295478639224
19,0.38393322484833853,0.4132097116474746,0.8932,0.0004999999999999999
20,0.3757359092789037,0.4218774912260066,0.8899058823529411,0.0004607704521360775
21,0.37007285707763266,0.4195636650065547,0.8867529411764706,0.0004217827674798846
22,0.33883483947387766,0.4137873659116751,0.8887058823529411,0.0003832773180720472
23,0.34130900060491903,0.39908768572131015,0.8968235294117648,0.0003454915028125262
24,0.3524660912475416,0.4166521432090025,0.8923058823529412,0.00030865828381745506
25,0.3337239021701472,0.39833522424258727,0.8977882352941177,0.0002730047501302265
26,0.3376182663653578,0.38161564854415475,0.9069647058823529,0.0002387507176420255
27,0.3340158811105149,0.38003658579375993,0.9062823529411764,0.0002061073738537634
28,0.3183503850762333,0.37387552252930945,0.9117176470588235,0.00017527597583490815
29,0.29790716990828514,0.36960292081558876,0.9167764705882353,0.0001464466094067262
30,0.30236066066260847,0.38004608527749206,0.9114588235294118,0.00011979701719998447
31,0.29979446956089567,0.3751461319134813,0.910470588235294,9.549150281252627e-05
32,0.2917787493871791,0.3673866140552314,0.9171058823529412,7.367991782295387e-05
33,0.275862168520689,0.3549362435225309,0.9203529411764707,5.4496737905816076e-05
34,0.2842805718204805,0.36030961128202715,0.9190117647058823,3.806023374435661e-05
35,0.28469325309353216,0.3578515474401547,0.9205176470588236,2.447174185242322e-05
36,0.2720798961818218,0.36134935051181627,0.9193176470588237,1.3815039801161714e-05
37,0.28108097133891924,0.3551788146303672,0.9219294117647058,6.155829702431168e-06
38,0.2670780595924173,0.3628568714843714,0.919129411764706,1.5413331334360176e-06
39,0.28662558112825665,0.3568691388468397,0.9218823529411766,0.0
