epoch,train_loss,val_loss,val_auc,lr
0,0.5496067622942584,0.5385135901563516,0.787035294117647,0.000998458666866564
1,0.5213926482413497,0.5408337983440055,0.8013176470588235,0.0009938441702975688
2,0.5024630496544498,0.6362257619341293,0.7806117647058823,0.0009861849601988382
3,0.515920162733112,0.5496115067790643,0.8022352941176469,0.0009755282581475767
4,0.5001156409936292,0.5269457007275898,0.8227764705882352,0.0009619397662556432
5,0.4855482078024319,0.5249312488726504,0.8182117647058824,0.0009455032620941838
6,0.4785589027617659,0.502577313658562,0.8347294117647059,0.000926320082177046
7,0.47532347962260246,0.5565940924911229,0.8126588235294118,0.0009045084971874736
8,0.4839084270809378,0.5010540738954443,0.8295294117647058,0.0008802029828000154
9,0.4673578776419163,0.4909046252961026,0.8335058823529411,0.0008535533905932736
10,0.46462142946464674,0.504724463240198,0.8278823529411764,0.0008247240241650918
11,0.4374087192118168,0.4873760700039741,0.8535529411764707,0.0007938926261462365
12,0.4433804957994393,0.48500935524761923,0.8524470588235294,0.0007612492823579742
13,0.4404306672513485,0.4950600688797805,0.8392941176470587,0.0007269952498697732
14,0.4461381233164242,0.4462589628908255,0.8684705882352941,0.0006913417161825447
15,0.44335915041821344,0.4609825737313575,0.8588,0.0006545084971874736
16,0.4150360953062773,0.47010547407642506,0.8487294117647058,0.0006167226819279527
17,0.4363903988684927,0.4684375799030704,0.862494117647059,0.0005782172325201154
18,0.41886582119124277,0.463496622836998,0.8606117647058824,0.0005392295478639224
19,0.4339045517678772,0.44599703470331664,0.871035294117647,0.0004999999999999999
20,0.4242328346839973,0.49503411200268954,0.866964705882353,0.0004607704521360775
21,0.4123512168547937,0.4346481603294492,0.8779058823529411,0.0004217827674798846
22,0.41343939889754566,0.4229397685159717,0.8825411764705883,0.0003832773180720472
23,0.4037591192339148,0.43186987923052494,0.8762352941176472,0.0003454915028125262
24,0.3988521272050483,0.42330019567656413,0.890235294117647,0.00030865828381745506
25,0.3947336146874087,0.4165961937086212,0.8868705882352941,0.0002730047501302265
26,0.39275770554585115,0.42219703962535676,0.8855294117647059,0.0002387507176420255
27,0.38631964953882353,0.40760434784907185,0.8908235294117647,0.0002061073738537634
28,0.3793597141546862,0.4210238340749676,0.8826823529411765,0.00017527597583490815
29,0.39376590374325005,0.41926095692160464,0.8807294117647059,0.0001464466094067262
30,0.37763710213559015,0.40601532839915955,0.8916,0.00011979701719998447
31,0.3784906409148659,0.41419576152268195,0.8905647058823529,9.549150281252627e-05
32,0.37658070400357246,0.4033398540662353,0.8935764705882352,7.367991782295387e-05
33,0.3709478173404932,0.4064830086729279,0.8940470588235294,5.4496737905816076e-05
34,0.375812637220536,0.4059877491863053,0.8928941176470587,3.806023374435661e-05
35,0.3732819187321833,0.40101422359008804,0.8946352941176471,2.447174185242322e-05
36,0.3758787879986422,0.4007344492780228,0.8952235294117646,1.3815039801161714e-05
37,0.3682688679546118,0.40005786592005455,0.8953176470588234,6.155829702431168e-06
38,0.3789859658905438,0.3986247511365583,0.8964941176470589,1.5413331334360176e-06
39,0.37302033762846676,0.3986612353880201,0.8959058823529412,0.0
