model,slice,n,prevalence,majority_floor,accuracy,precision,recall,specificity,f1,roc_auc,tn,fp,fn,tp
model_a_seed0,full test,476,0.334,0.666,0.8172,0.6856,0.8365,0.8076,0.7535,0.8928,256,61,26,133
model_a_seed0,source-matched (flickr),247,0.615,0.615,0.7449,0.7633,0.8487,0.5789,0.8037,0.7916,55,40,23,129
model_a_seed0,unsplash only,229,0.031,0.969,0.8952,0.16,0.5714,0.9054,0.25,0.8449,201,21,3,4
model_a_seed1,full test,476,0.334,0.666,0.8046,0.6701,0.8176,0.7981,0.7365,0.8731,253,64,29,130
model_a_seed1,source-matched (flickr),247,0.615,0.615,0.7328,0.759,0.8289,0.5789,0.7925,0.7645,55,40,26,126
model_a_seed1,unsplash only,229,0.031,0.969,0.8821,0.1429,0.5714,0.8919,0.2286,0.8166,198,24,3,4
model_a_seed2,full test,476,0.334,0.666,0.7941,0.6631,0.7799,0.8013,0.7168,0.8734,254,63,35,124
model_a_seed2,source-matched (flickr),247,0.615,0.615,0.7126,0.7547,0.7895,0.5895,0.7717,0.7666,56,39,32,120
model_a_seed2,unsplash only,229,0.031,0.969,0.8821,0.1429,0.5714,0.8919,0.2286,0.8314,198,24,3,4
