epoch,train_loss,val_loss,val_auc,lr
0,0.5589144863188267,0.4846975258122042,0.8834588235294117,0.00075
1,0.4596219541771071,0.428057588167016,0.9035294117647058,0.0002500000000000001
2,0.4128996783069202,0.41847338695597297,0.9114352941176471,0.0
3,0.4094644029225622,0.37722162890590244,0.9288470588235294,9.981987442712634e-06
4,0.3636022172868252,0.34201658517431366,0.9413176470588236,9.928079551738544e-06
5,0.3407750456993069,0.3175734916039965,0.9506117647058824,9.838664734667497e-06
6,0.3112890933241163,0.2901799485977283,0.9592941176470589,9.714387227305422e-06
7,0.2932360124375139,0.2750187122305607,0.9625411764705882,9.55614245194068e-06
8,0.2647488880902529,0.26153686484012645,0.9646352941176471,9.365070565805941e-06
9,0.26121661545974867,0.24444830426500372,0.9676,9.14254824621921e-06
10,0.2389523031722222,0.2337117235044032,0.9712470588235294,8.890178771592197e-06
11,0.22002069705298968,0.22741362525696798,0.9723058823529411,8.609780469772621e-06
12,0.21237180541668618,0.21449331091613238,0.9748941176470588,8.303373616950405e-06
13,0.20696766874087708,0.2104137549028418,0.9755529411764706,7.973165881521431e-06
14,0.1865017835849098,0.20214408069333512,0.9765176470588235,7.621536417786157e-06
15,0.1894128177581089,0.19868817583654413,0.9773647058823529,7.2510187240883644e-06
16,0.1790145422731127,0.19623273777392333,0.978164705882353,6.864282388901543e-06
17,0.16353785432875156,0.1889771263271365,0.9791764705882353,6.46411385638275e-06
18,0.16678976240967,0.18551058637983078,0.98,6.053396349978632e-06
19,0.15873664205095597,0.18395036252167335,0.9804941176470588,5.635089098734393e-06
20,0.15385307471400925,0.1861331635278623,0.9803294117647059,5.212206015980742e-06
21,0.15497131286455051,0.18463318410956772,0.9800470588235295,4.787793984019259e-06
22,0.1288877185434103,0.17855748957535988,0.9812470588235295,4.364910901265606e-06
23,0.14987774658948183,0.17537602812312697,0.9814352941176472,3.946603650021368e-06
24,0.13059001249660337,0.17076770170360336,0.9825411764705883,3.535886143617249e-06
25,0.1313196771245982,0.17514120811769435,0.9811058823529413,3.1357176110984573e-06
26,0.1286830407168184,0.17418401590399302,0.9820470588235295,2.748981275911633e-06
27,0.12957900210416742,0.16448936656266705,0.9834588235294118,2.3784635822138424e-06
28,0.1260845583331372,0.16972654392787678,0.9818117647058824,2.0268341184785674e-06
29,0.12417430284300021,0.17009780735534916,0.9834117647058824,1.6966263830495939e-06
30,0.12575494311749935,0.17283355533662284,0.9824941176470589,1.3902195302273781e-06
31,0.11790926162419575,0.16758892742079853,0.9831294117647058,1.109821228407802e-06
32,0.11603708206010717,0.1652765379310036,0.9832941176470589,8.574517537807897e-07
33,0.12586710482303584,0.16762937954765045,0.9826588235294118,6.349294341940604e-07
34,0.12295470396722001,0.1662868092100347,0.9839058823529413,4.438575480593221e-07
35,0.12463690786223326,0.1659476583341432,0.9834823529411765,2.85612772694579e-07
36,0.12303719909063407,0.16618254869579416,0.9828470588235294,1.6133526533250566e-07
37,0.12319136896569814,0.1627096765658966,0.9838352941176471,7.192044826145772e-08
38,0.11746538091184837,0.1659876536731213,0.9831764705882353,1.8012557287367394e-08
39,0.13109577473785197,0.16804491058321433,0.9826823529411766,0.0
