epoch,train_loss,val_loss,val_auc,lr
0,0.6261344238051346,0.6668301811101415,0.7630588235294118,0.000998458666866564
1,0.5362548242722239,0.6672895944383984,0.7454117647058824,0.0009938441702975688
2,0.5314488086317267,0.5500736012763091,0.7936470588235295,0.0009861849601988382
3,0.48267139387982233,0.6264690664673255,0.8035529411764707,0.0009755282581475767
4,0.49089772573539187,0.5707891451958065,0.7916470588235295,0.0009619397662556432
5,0.46591052998389515,0.6298191096146617,0.7601411764705882,0.0009455032620941838
6,0.4545079618692398,0.5260204228695801,0.8416705882352941,0.000926320082177046
7,0.43654628843069077,0.4437917249756644,0.8645882352941177,0.0009045084971874736
8,0.41991591293896946,0.4851121769601599,0.8603529411764707,0.0008802029828000154
9,0.38865615400884834,0.45694863922393714,0.8727294117647059,0.0008535533905932736
10,0.3821832553616592,0.4233684419265902,0.8904,0.0008247240241650918
11,0.3584239320563419,0.4104277226742409,0.8969411764705882,0.0007938926261462365
12,0.31928648826267036,0.5403169466629429,0.8499529411764707,0.0007612492823579742
13,0.35221911328179495,0.37495230810998953,0.9077882352941176,0.0007269952498697732
14,0.31564233771392275,0.36969967820398913,0.920235294117647,0.0006913417161825447
15,0.30220925328986986,0.42794700463318136,0.8893411764705882,0.0006545084971874736
16,0.31702027869011673,0.4046028429179604,0.9013411764705883,0.0006167226819279527
17,0.2797664012759924,0.41956124336258566,0.8966823529411764,0.0005782172325201154
18,0.28494783703769955,0.3807433874340809,0.9163294117647058,0.0005392295478639224
19,0.2457468238260065,0.43003232622639165,0.9059294117647059,0.0004999999999999999
20,0.2516084676608443,0.386222454480238,0.9160235294117648,0.0004607704521360775
21,0.24848106955843313,0.37338442206057243,0.9195294117647058,0.0004217827674798846
22,0.22392544536186115,0.4261784651704666,0.9079529411764705,0.0003832773180720472
